BASIN_ID,1980head,1981head,1982head,1983head,1984head,1985head,1986head,1987head,1988head,1989head,1990head,1991head,1992head,1993head,1994head,1995head,1996head,1997head,1998head,1999head,2000head,2001head,2002head,2003head,2004head,2005head,2006head,2007head,2008head,2009head,2010head,2011head,2012head,2013head,2014head,2015head,2016head,2017head
0.0,4013346464.07,4150096256.87,4241743322.77,4339987751.37,4498055627.54,4651138501.18,4852974533.23,5050588380.96,5202566175.21,5326686365.04,5513750297.0,5697942492.96,6130435222.34,6355699295.81,6582404167.77,6675724962.9,6959250773.0,7031925538.0,6694245773.76,6771688974.14,7161592172.05,7368393030.41,7901019241.68,7951459087.63,8139219167.61,8339544392.48,8501151971.97,8731113778.07,8941556488.27,9325595760.62,9492714077.15,9584106943.39,9879134204.86,10255550837.6,10312842032.4,10703858107.5,11011279913.7,11011279913.7
1.0,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,159238.224581,303897.092531,300662.93451,264155.386865,231973.261092,201377.503614,177116.698485,168816.628852,164326.348837,160433.655483,155693.317629,157934.440393,158928.178971,156086.482358,154385.305908,159238.224581,157588.455801,161920.527233,167478.400042,177005.475729,182446.031985,191281.996371,199373.061039,199848.856176,210351.977935,216823.731178,216823.731178
2.0,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,3525.85585139,8154.34450765,7841.30500197,7207.16662132,6367.3257632,5756.49088344,5075.23776278,4636.75378052,4301.71495113,4245.30971944,4122.72271511,4130.91891597,4100.07366675,3883.96090206,3642.34726665,3525.85585139,3534.56933875,3565.61103633,3553.97840623,3602.68135896,3573.35054801,3653.51177678,3714.41680761,3684.326919,3739.2141931,3785.82627174,3785.82627174
3.0,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,1457.92953881,3119.59075896,3036.64639524,2737.41110312,2400.44090993,2130.99809635,1874.07507148,1733.03692001,1628.22701823,1596.20375823,1559.49500147,1573.02576175,1570.65263621,1519.32221736,1466.70990961,1457.92953881,1454.73355269,1482.54320064,1501.31731154,1545.64925537,1557.45020445,1612.71387409,1658.4390604,1652.97006058,1705.18394649,1737.62397473,1737.62397473
4.0,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,14716.7741173,36492.0484021,34905.8990281,32586.376915,28834.4338263,26377.8252577,23315.0364984,21003.181732,19073.5678143,18802.2742875,18409.1166259,18350.1428326,18033.9773002,16904.9990622,15648.6153677,14716.7741173,14695.7847385,14713.2495387,14424.7658817,14264.3531814,13853.9893033,13997.4628062,13952.0868732,13727.7854551,13609.4435096,13505.4854891,13505.4854891
5.0,16684366.3088,16826730.7384,16904345.4973,16777306.9971,16293414.6218,16038560.6318,16005188.8507,16379220.0546,16768553.417,17467961.2837,17773033.4635,17945640.9003,27228468.9359,26916141.5882,25090391.1419,23881032.5136,23274637.7851,20336475.1757,20437905.1652,20566556.1806,20728906.3343,20313415.2457,20196828.3692,20421008.607,20611455.5522,20979019.9331,21132173.3708,20783994.9577,21170435.1026,21222854.3536,21551008.6954,21841431.8578,22478079.1797,23169206.9741,23594878.0594,24700053.8032,25508329.0205,25508329.0205
6.0,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,13462.2989688,32726.9317051,31358.5257998,29167.7094864,25800.3675029,23538.5682627,20796.6365337,18800.5261391,17161.2770569,16919.9254423,16541.6664754,16511.9532201,16266.2370985,15294.5715697,14211.0710472,13462.2989688,13452.6885479,13495.6658089,13288.4594363,13224.8686423,12916.3313834,13093.64173,13120.7982865,12938.1551261,12911.9480247,12885.3236037,12885.3236037
7.0,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,1623517.01116,3424785.71706,3332684.82288,2959360.00494,2580519.98404,2257266.48975,1973886.57663,1837252.54715,1746387.91708,1710138.37749,1659135.36906,1678292.75324,1687128.70368,1642941.23062,1601915.86944,1623517.01116,1626256.48952,1666756.5457,1703930.8923,1776763.88147,1808930.70037,1883841.91322,1955254.38997,1956099.00627,2035586.57186,2088045.07649,2088045.07649
8.0,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,542.459837557,1253.8704649,1209.59130706,1113.26951751,984.194741144,889.957727946,786.122343063,717.82909241,663.225541217,652.211370648,637.004591973,637.442395388,629.794770297,596.924077534,562.07842972,542.459837557,539.700240311,544.234330291,542.263833089,547.628968559,542.452993677,554.928978871,561.523033246,556.069828962,563.478349983,567.061548396,567.061548396
9.0,5214.69944522,5238.73400213,5231.04267036,5259.68059854,5336.15871978,5290.52746771,5244.57331013,5094.82987349,4967.14046957,5002.93718521,5044.45975237,4962.90637415,4703.46221465,4579.8131746,4535.82564782,4560.37494704,4549.00546158,4492.66532954,4423.05497754,4407.72765006,4459.52500752,4454.72376395,4363.72589624,4245.81895845,4188.92464345,4178.40280138,4156.36938065,4198.00283836,4243.52003908,4241.55707548,4224.73497877,4150.88458696,4100.1981236,4119.02600114,4139.45738451,4148.91318389,4146.04610223,4146.04610223
